company_id,name,name_ja,industry_code,isin,website
87,"ASAHI KOGYOSHA CO.,LTD.",株式会社朝日工業社,2050,,
88,"TSUZUKI DENKI CO., LTD.",都築電気株式会社,6050,,
89,"MEISEI INDUSTRIAL Co.,Ltd.",明星工業株式会社,2050,,
90,RISE Inc.,株式会社ＲＩＳＥ,8050,,
91,"WATANABE SATO CO., LTD.",株式会社佐藤渡辺,2050,,
92,"Hibiya Engineering,Ltd.",日比谷総合設備株式会社,2050,,
93,Sanyo Engineering & Construction Inc.,株式会社サンテック,2050,,
94,KITANO CONSTRUCTION CORP.,北野建設株式会社,2050,,
95,"SEIKITOKYU KOGYO CO.,LTD.",世紀東急工業株式会社,2050,,
96,UEKI  CORPORATION,株式会社植木組,2050,,
97,YONDENKO CORPORATION,株式会社四電工,2050,,
98,"KANDA TSUSHINKI CO.,LTD.",神田通信機株式会社,2050,,
99,Taikisha Ltd.,株式会社大気社,2050,,
100,"NIPPON RIETEC CO.,LTD.",日本リーテック株式会社,2050,,
101,"NIKKEN KOGAKU CO., LTD.",日建工学株式会社,9050,,
102,"KYOWANISSEI CO.,LTD.",株式会社協和日成,2050,,
103,"DAI-DAN CO.,LTD.",ダイダン株式会社,2050,,
104,FUKUDA CORPORATION,株式会社福田組,2050,,
105,"NIHON HOUSE HOLDINGS CO., LTD.",株式会社日本ハウスホールディングス,2050,,
106,"MEIKO CONSTRUCTION CO.,LTD.",名工建設株式会社,2050,,
107,"japan foundation engineering co.,ltd.",日本基礎技術株式会社,2050,,
108,"hokuriku electrical construction co.,ltd.",北陸電気工事株式会社,2050,,
109,"tanseisha co.,ltd.",株式会社丹青社,9050,,
110,TAKADA CORPORATION,株式会社　高田工業所,2050,,
111,NEC Networks & System Integration Corporation,ＮＥＣネッツエスアイ株式会社,5250,,
112,"DAITO TRUST CONSTRUCTION CO.,LTD.",大東建託株式会社,2050,JP3486800000,
113,SHINNIHON CORPORATION,新日本建設株式会社,2050,,
114,TAKAHASHI  CURTAIN  WALL  CORPORATION,高橋カーテンウォール工業株式会社,2050,,
115,TECHNO RYOWA LTD.,株式会社テクノ菱和,2050,,
116,"Shin Nippon Air Technologies Co., Ltd.",新日本空調株式会社,2050,,
117,tenox corporation,株式会社テノックス,2050,,
118,"taisei oncho co.,ltd.",大成温調株式会社,2050,,
119,FUJI P.S CORPORATION,株式会社富士ピー・エス,2050,,
120,"OHMORI CO.,LTD.",株式会社大盛工業,2050,,
121,"TSUCHIYA HOLDINGS CO., LTD.",株式会社土屋ホールディングス,2050,,
122,TANABE ENGINEERING CORPORATION,田辺工業株式会社,2050,,
123,"AKATSUKI EAZIMA CO., LTD.",暁飯島工業株式会社,2050,,
124,SAITA CORPORATION,サイタホールディングス株式会社,2050,,
125,DAIICHI KENSETSU CORPORATION,第一建設工業株式会社,2050,,
126,MORIYA CORPORATION,株式会社守谷商会,2050,,
127,MASARU CORPORATION,株式会社マサル,2050,,
128,"OHMOTO GUMI CO.,LTD",株式会社大本組,2050,,
129,"ETS Holdings Co.,Ltd.",株式会社ＥＴＳホールディングス,2050,,
130,"santo co.,ltd",株式会社三東工業社,2050,,
131,"Nakabohtec Corrosion Protecting Co.,Ltd.",株式会社ナカボーテック,2050,,
132,"Asia Gate Holdings Co., Ltd.",株式会社アジアゲートホールディングス,2050,,
133,"Joban Kaihatsu Co.,Ltd.",常磐開発株式会社,2050,,
134,YAMAURA CORPORATION,株式会社　ヤマウラ,2050,,
135,"KAWASAKI SETSUBI KOGYO CO., LTD.",川崎設備工業株式会社,2050,,
136,"SUMIKEN MITSUI ROAD CO.,LTD.",三井住建道路株式会社,2050,,
137,FUJI FURUKAWA ENGINEERING & CONSTRUCTION CO.LTD.,富士古河Ｅ＆Ｃ株式会社,2050,,
138,"NIPPON  KANRYU  INDUSTRY  CO.,LTD.",日本乾溜工業株式会社,2050,,
139,"FUJITA ENGINEERING CO.,LTD.",藤田エンジニアリング株式会社,2050,,
140,SONEC CORPORATION,株式会社ソネック,2050,,
141,TOKEN CORPORATION,東建コーポレーション株式会社,2050,,
142,KUDO CORPORATION,工藤建設株式会社,2050,,
143,TAKAMATSU CONSTRUCTION GROUP,株式会社髙松コンストラクショングループ,2050,,
144,"Taiyo Kisokogyo Co.,Ltd.",太洋基礎工業株式会社,2050,,
145,"CREA HOLDINGS,Inc.",クレアホールディングス株式会社,2050,,
146,"KOATSU KOGYO CO., LTD.",コーアツ工業株式会社,2050,,
147,"SEEDHEIWA CO.,LTD.",シード平和株式会社,2050,,
148,"MESCO,Inc.",三井金属エンジニアリング株式会社,2050,,
149,OTEC CORPORATION,株式会社　オーテック,2050,,
150,KITAKOUDENSHACorporation,株式会社北弘電社,2050,,
151,"ASO FOAM CRETE Co.,Ltd.",麻生フオームクリート株式会社,2050,,
152,"MISAWA HOMES CHUGOKU CO.,LTD.",ミサワホーム中国株式会社,2050,,
153,"AVANTIA CO., LTD.",株式会社ＡＶＡＮＴＩＡ,8050,,
154,Br.Holdings Corporation,株式会社ビーアールホールディングス,2050,,
155,"NIHON DENGI CO., LTD.",日本電技株式会社,2050,,
156,"MIKIKOGYO CO.,LTD.",美樹工業株式会社,2050,,
157,"TOKYU CONSTRUCTION CO.,LTD.",東急建設株式会社,2050,,
158,HAZAMA ANDO CORPORATION,株式会社安藤・間,2050,,
159,DAI-ICHI CUTTER KOGYO K.K.,第一カッター興業株式会社,2050,,
160,COMSYS Holdings Corporation,コムシスホールディングス株式会社,2050,,
161,"mbs,inc.",株式会社エムビーエス,2050,,
162,"Hinokiya Group Co.,Ltd.",株式会社ヒノキヤグループ,2050,,
163,West Holdings corporation,株式会社ウエストホールディングス,2050,,
164,"SHO-BOND Holdings Co.,  Ltd.",ショーボンドホールディングス株式会社,2050,,
165,"MORINAGA MILK INDUSTRY CO.,LTD",森永乳業株式会社,3050,JP3926800008,
166,NH Foods Ltd.,日本ハム株式会社,3050,JP3743000006,
